MonthlyHour,Type,Amount,SenderBalance,ReceiverBalance,isFraud
18,TRANSFER,185179.51,0.0,666160.16,0
185,DEBIT,18996.03,534.0,218943.42,0
306,PAYMENT,1249.91,101240.78,0.0,0
227,CASH_OUT,80870.17,0.0,98974.08,0
34,CASH_OUT,30917.39,30917.39,339926.42,1
704,TRANSFER,8813323.11,8813323.11,0.0,1
10,DEBIT,44021.57,266784.92,1967276.4,0
354,DEBIT,6977.84,180.0,527347.44,0
379,TRANSFER,278311.82,50911.0,137636.11,0
305,DEBIT,3335.88,4052.0,6952006.94,0
249,CASH_OUT,6345.66,0.0,727913.88,0
81,TRANSFER,1980800.05,1980800.05,0.0,1
396,CASH_OUT,172902.3,267.0,8834194.5,0
584,TRANSFER,1016081.0,1016081.0,0.0,1
37,TRANSFER,503793.25,503793.25,0.0,1
164,CASH_IN,59469.4,783.0,368289.5,0
250,CASH_IN,130279.85,1762146.41,1961128.13,0
215,PAYMENT,3721.98,182373.0,0.0,0
116,CASH_OUT,2694857.26,2694857.26,573517.09,1
185,CASH_IN,308975.45,12365.0,2783.41,0
187,PAYMENT,15784.5,1941.0,0.0,0
184,TRANSFER,101058.59,5088.0,0.0,0
285,TRANSFER,125487.45,0.0,524556.64,0
133,TRANSFER,414878.93,0.0,3792135.82,0
671,CASH_OUT,61505.06,61505.06,287479.07,1
135,CASH_IN,512113.74,28959.0,0.0,0
288,TRANSFER,84357.56,0.0,167377.49,0
329,PAYMENT,6859.27,0.0,0.0,0
225,TRANSFER,2464855.32,0.0,6453098.31,0
11,CASH_IN,67251.97,20410.0,22708.0,0
226,TRANSFER,82869.09,82869.09,0.0,1
493,TRANSFER,1214511.61,1214511.61,0.0,1
163,DEBIT,5949.75,61535.0,310406.31,0
16,DEBIT,8231.61,0.0,61557.0,0
379,TRANSFER,354457.83,287.0,4872426.93,0
408,DEBIT,6525.89,10570.0,5740828.79,0
305,TRANSFER,10000000.0,0.0,20159049.22,0
180,CASH_OUT,280530.17,0.0,1550619.62,0
269,TRANSFER,3042111.54,3042111.54,0.0,1
18,TRANSFER,308589.59,29870.0,1519168.31,0
71,TRANSFER,479892.04,479892.04,0.0,1
308,CASH_OUT,9498.23,51419.0,3132425.15,0
38,CASH_IN,146983.31,3872369.87,1366777.76,0
336,CASH_OUT,5903457.39,5903457.39,25879.97,1
136,PAYMENT,14132.01,0.0,0.0,0
279,DEBIT,3696.31,144221.8,215687.43,0
44,TRANSFER,44571.94,44571.94,0.0,1
233,PAYMENT,11629.84,0.0,0.0,0
205,TRANSFER,777241.17,0.0,1244117.37,0
542,TRANSFER,161804.68,161804.68,0.0,1
113,CASH_OUT,1636403.22,1636403.22,1116093.45,1
203,CASH_OUT,496263.05,654.0,50863.34,0
134,CASH_OUT,64582.85,0.0,237792.27,0
162,CASH_IN,30840.64,11078941.95,280594.66,0
250,TRANSFER,1703898.64,0.0,1947967.95,0
302,PAYMENT,44792.75,0.0,0.0,0
122,DEBIT,1469.57,30879.0,117105.99,0
201,TRANSFER,3658422.82,0.0,4011498.5,0
260,CASH_IN,99695.68,5106709.6,2187291.24,0
282,DEBIT,10795.82,2076.0,114938.84,0
401,CASH_IN,488340.95,82843.0,4564.04,0
37,PAYMENT,18197.55,268413.63,0.0,0
404,TRANSFER,174705.57,21000.0,74534.15,0
89,TRANSFER,766631.82,766631.82,0.0,1
20,DEBIT,2363.69,11871.0,359599.7,0
209,CASH_IN,41284.02,6416524.56,112843.58,0
188,TRANSFER,313141.02,10482.0,101380.16,0
378,PAYMENT,7664.18,998.0,0.0,0
47,CASH_OUT,38283.5,0.0,368365.2,0
514,TRANSFER,3551771.18,3551771.18,0.0,1
272,CASH_OUT,253672.83,253672.83,0.0,1
92,CASH_OUT,19742.71,19742.71,2098671.68,1
459,TRANSFER,46130.88,46130.88,0.0,1
651,TRANSFER,65494.78,65494.78,0.0,1
566,CASH_OUT,2202575.1,2202575.1,1006442.23,1
182,DEBIT,5849.59,103456.0,299108.22,0
257,CASH_OUT,61055.62,0.0,84017.91,0
22,CASH_OUT,239646.72,239646.72,2208970.26,1
258,CASH_OUT,304822.59,5509.0,135465.65,0
134,PAYMENT,50056.14,50684.0,0.0,0
307,CASH_OUT,157676.04,40537.0,5106589.12,0
43,PAYMENT,14705.29,26.0,0.0,0
286,PAYMENT,18462.08,179940.32,0.0,0
397,CASH_OUT,530892.36,0.0,931858.62,0
348,DEBIT,8648.37,1191.0,2314838.4,0
325,PAYMENT,3528.28,0.0,0.0,0
34,TRANSFER,211068.82,23587.0,125.0,0
558,CASH_OUT,316877.85,316877.85,0.0,1
185,CASH_OUT,190577.49,11116.0,739878.18,0
322,CASH_IN,305349.72,209598.0,1045204.75,0
347,CASH_OUT,411850.06,56234.0,0.0,0
162,DEBIT,1831.26,20953.0,485428.03,0
159,TRANSFER,268151.25,0.0,1389766.37,0
190,TRANSFER,1535617.41,0.0,3660682.84,0
202,TRANSFER,436523.13,774.0,557845.35,0
217,PAYMENT,1181.05,40494.0,0.0,0
214,PAYMENT,54268.32,2580.13,0.0,0
56,CASH_OUT,1932200.59,1932200.59,0.0,1
35,TRANSFER,122032.62,122032.62,0.0,1
370,TRANSFER,11711.15,20890.0,415803.48,0
629,CASH_OUT,547672.2,547672.2,241648.88,1
137,CASH_IN,118217.49,105630.0,11143622.86,0
154,CASH_OUT,108929.38,7537.71,1095171.22,0
182,CASH_OUT,87363.05,0.0,2064456.76,0
55,TRANSFER,760625.76,760625.76,0.0,1
398,CASH_OUT,270026.33,101743.0,616419.34,0
14,CASH_IN,328504.0,13569.0,1529191.44,0
212,CASH_IN,38091.14,12231.0,3535362.58,0
228,CASH_IN,314923.53,352146.66,533264.47,0
254,PAYMENT,6593.86,24801.12,0.0,0
142,CASH_OUT,73064.41,73064.41,187838.1,1
361,CASH_OUT,299016.86,299016.86,187459.53,1
235,TRANSFER,2233974.69,659284.0,1413034.61,0
281,PAYMENT,5746.55,0.0,0.0,0
137,TRANSFER,117791.0,445627.0,404445.48,0
37,TRANSFER,201632.88,0.0,426682.58,0
211,CASH_OUT,79377.67,101045.0,0.0,0
351,PAYMENT,3485.77,554.0,0.0,0
10,CASH_OUT,98753.71,14378.0,924493.15,0
638,TRANSFER,345116.0,345116.0,0.0,1
492,CASH_IN,161126.69,556082.0,1415526.81,0
19,CASH_OUT,82590.45,141126.0,102761.44,0
161,CASH_OUT,150201.65,0.0,4757957.33,0
699,CASH_OUT,215013.3,215013.3,17301734.96,1
143,DEBIT,675.09,18130.0,1087819.72,0
451,TRANSFER,94018.82,0.0,132714.64,0
234,TRANSFER,80336.26,80336.26,0.0,1
249,TRANSFER,81205.9,0.0,4769588.51,0
211,TRANSFER,405062.33,405062.33,0.0,1
394,DEBIT,867.67,22669.0,1076364.25,0
251,CASH_IN,456419.85,123652.23,626889.26,0
42,TRANSFER,1101786.93,376229.66,1503028.31,0
353,DEBIT,1585.94,6275.84,60715.35,0
284,CASH_OUT,131905.45,29827.0,1076850.17,0
592,CASH_OUT,63209.29,161.0,0.0,0
226,CASH_OUT,212252.86,0.0,226544.86,0
518,DEBIT,1398.63,19653.0,716981.35,0
44,TRANSFER,186863.29,0.0,392634.38,0
401,PAYMENT,3911.08,0.0,0.0,0
326,TRANSFER,618381.01,618381.01,0.0,1
186,PAYMENT,8841.76,0.0,0.0,0
162,TRANSFER,364264.84,188.0,0.0,0
230,CASH_IN,98332.99,2009.0,2585973.22,0
397,DEBIT,3009.72,0.0,916939.87,0
522,CASH_IN,91008.44,8958273.04,4016428.74,0
276,CASH_OUT,232237.28,0.0,847259.59,0
326,CASH_OUT,253232.27,51735.0,54841.38,0
474,TRANSFER,1833703.42,14220.0,1337535.14,0
346,PAYMENT,48968.89,0.0,0.0,0
231,CASH_OUT,13962.0,13962.0,0.0,1
664,TRANSFER,5652739.69,5652739.69,0.0,1
328,TRANSFER,439094.3,0.0,1269998.23,0
137,DEBIT,12867.0,123786.0,659921.98,0
